Coverage summary (llvm-cov report):
Filename                                                                         Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
home/oof/cairo_coverage/src/cairo-image-source.c                                     541               312    42.33%          46                28    39.13%         863               462    46.47%         380               229    39.74%
home/oof/cairo_coverage/src/cairo-image-surface-inline.h                               7                 4    42.86%           5                 4    20.00%          15                12    20.00%           4                 2    50.00%
home/oof/cairo_coverage/src/cairo-image-surface.c                                    515               347    32.62%          46                10    78.26%         746               439    41.15%         392               246    37.24%
home/oof/cairo_coverage/src/cairo-line-inline.h                                        7                 0   100.00%           1                 0   100.00%           4                 0   100.00%           8                 0   100.00%
home/oof/cairo_coverage/src/cairo-line.c                                             138                76    44.93%           5                 1    80.00%         163                82    49.69%         102                59    42.16%
home/oof/cairo_coverage/src/cairo-list-inline.h                                       14                 5    64.29%          14                 5    64.29%          65                22    66.15%           0                 0         -
home/oof/cairo_coverage/src/cairo-malloc-private.h                                    29                 6    79.31%           5                 1    80.00%          41                20    51.22%          16                 8    50.00%
home/oof/cairo_coverage/src/cairo-mask-compositor.c                                  432               432     0.00%          31                31     0.00%         991               991     0.00%         302               302     0.00%
home/oof/cairo_coverage/src/cairo-matrix.c                                           273                27    90.11%          30                 2    93.33%         445                30    93.26%         176                39    77.84%
home/oof/cairo_coverage/src/cairo-mesh-pattern-rasterizer.c                          189                42    77.78%          18                 3    83.33%         308                61    80.19%         104                34    67.31%
home/oof/cairo_coverage/src/cairo-misc.c                                             288               191    33.68%          20                14    30.00%         427               306    28.34%         352               203    42.33%
home/oof/cairo_coverage/src/cairo-mono-scan-converter.c                              195                37    81.03%          21                 0   100.00%         345                72    79.13%         120                38    68.33%
home/oof/cairo_coverage/src/cairo-no-compositor.c                                     25                25     0.00%           5                 5     0.00%          20                20     0.00%           0                 0         -
home/oof/cairo_coverage/src/cairo-observer.c                                          10                 3    70.00%           1                 0   100.00%           9                 3    66.67%           2                 1    50.00%
home/oof/cairo_coverage/src/cairo-output-stream.c                                    296               296     0.00%          30                30     0.00%         462               462     0.00%         190               190     0.00%
home/oof/cairo_coverage/src/cairo-path-bounds.c                                       36                14    61.11%          11                 6    45.45%         107                47    56.07%          18                 4    77.78%
home/oof/cairo_coverage/src/cairo-path-fill.c                                         69                12    82.61%          13                 0   100.00%         174                19    89.08%          42                15    64.29%
home/oof/cairo_coverage/src/cairo-path-fixed-private.h                                14                 1    92.86%           4                 1    75.00%          30                16    46.67%          10                 1    90.00%
home/oof/cairo_coverage/src/cairo-path-fixed.c                                       857               372    56.59%          55                12    78.18%         976               367    62.40%         448               197    56.03%
home/oof/cairo_coverage/src/cairo-path-in-fill.c                                     128               128     0.00%          10                10     0.00%         157               157     0.00%          90                90     0.00%
home/oof/cairo_coverage/src/cairo-path-stroke-boxes.c                                292                20    93.15%          11                 0   100.00%         448                26    94.20%         186                27    85.48%
home/oof/cairo_coverage/src/cairo-path-stroke-polygon.c                              245                11    95.51%          23                 1    95.65%         632                18    97.15%         170                23    86.47%
home/oof/cairo_coverage/src/cairo-path-stroke-traps.c                                290               290     0.00%          27                27     0.00%         678               678     0.00%         196               196     0.00%
home/oof/cairo_coverage/src/cairo-path-stroke.c                                      472               141    70.13%          26                 4    84.62%         909               262    71.18%         316               127    59.81%
home/oof/cairo_coverage/src/cairo-path.c                                              94                27    71.28%          16                 1    93.75%         221                39    82.35%          46                17    63.04%
home/oof/cairo_coverage/src/cairo-pattern-inline.h                                     2                 1    50.00%           2                 1    50.00%           7                 4    42.86%           0                 0         -
home/oof/cairo_coverage/src/cairo-pattern.c                                         1810               999    44.81%         118                51    56.78%        2226              1182    46.90%        1188               758    36.20%
home/oof/cairo_coverage/src/cairo-pen.c                                              139                61    56.12%          10                 4    60.00%         220                82    62.73%          94                38    59.57%
home/oof/cairo_coverage/src/cairo-png.c                                              334               244    26.95%          23                18    21.74%         579               439    24.18%         210               165    21.43%
home/oof/cairo_coverage/src/cairo-polygon-intersect.c                                555                61    89.01%          39                 0   100.00%         794                51    93.58%         368                60    83.70%
home/oof/cairo_coverage/src/cairo-polygon-reduce.c                                   545               389    28.62%          37                13    64.86%         772               491    36.40%         358               277    22.63%
home/oof/cairo_coverage/src/cairo-polygon.c                                          232                44    81.03%          15                 2    86.67%         342                69    79.82%         152                32    78.95%
home/oof/cairo_coverage/src/cairo-raster-source-pattern.c                             87                87     0.00%          16                16     0.00%         137               137     0.00%          46                46     0.00%
home/oof/cairo_coverage/src/cairo-recording-surface-inline.h                           2                 1    50.00%           2                 1    50.00%          11                 8    27.27%           0                 0         -
home/oof/cairo_coverage/src/cairo-recording-surface.c                               1160               670    42.24%          73                33    54.79%        1926              1110    42.37%         760               514    32.37%
home/oof/cairo_coverage/src/cairo-rectangle.c                                        158                19    87.97%          11                 2    81.82%         134                18    86.57%          70                10    85.71%
home/oof/cairo_coverage/src/cairo-rectangular-scan-converter.c                       323                46    85.76%          23                 0   100.00%         517                43    91.68%         188                37    80.32%
home/oof/cairo_coverage/src/cairo-region.c                                           307               224    27.04%          30                18    40.00%         371               266    28.30%         224               192    14.29%
home/oof/cairo_coverage/src/cairo-scaled-font.c                                     1025               319    68.88%          68                16    76.47%        1560               482    69.10%         576               242    57.99%
home/oof/cairo_coverage/src/cairo-shape-mask-compositor.c                             91                90     1.10%           4                 3    25.00%         240               232     3.33%          66                66     0.00%
home/oof/cairo_coverage/src/cairo-slope-private.h                                      5                 0   100.00%           3                 0   100.00%          12                 0   100.00%           0                 0         -
home/oof/cairo_coverage/src/cairo-slope.c                                             44                 0   100.00%           1                 0   100.00%          21                 0   100.00%          32                 1    96.88%
home/oof/cairo_coverage/src/cairo-spans-compositor.c                                 422               113    73.22%          23                 2    91.30%         825               233    71.76%         290               104    64.14%
home/oof/cairo_coverage/src/cairo-spans.c                                            380               380     0.00%          12                12     0.00%         182               182     0.00%         196               196     0.00%
home/oof/cairo_coverage/src/cairo-spline.c                                           197                 5    97.46%           9                 0   100.00%         224                 5    97.77%         156                 4    97.44%
home/oof/cairo_coverage/src/cairo-stroke-dash.c                                       23                 0   100.00%           3                 0   100.00%          35                 0   100.00%          14                 0   100.00%
home/oof/cairo_coverage/src/cairo-stroke-style.c                                     114                46    59.65%          10                 2    80.00%         152                44    71.05%          70                29    58.57%
home/oof/cairo_coverage/src/cairo-surface-inline.h                                    10                 0   100.00%           2                 0   100.00%          11                 0   100.00%           4                 1    75.00%
home/oof/cairo_coverage/src/cairo-surface-offset.c                                    78                78     0.00%           6                 6     0.00%         160               160     0.00%          54                54     0.00%
home/oof/cairo_coverage/src/cairo-surface-snapshot-inline.h                            5                 1    80.00%           3                 1    66.67%          16                 5    68.75%           0                 0         -
home/oof/cairo_coverage/src/cairo-surface-snapshot.c                                  62                20    67.74%           8                 2    75.00%         132                41    68.94%          28                16    42.86%
home/oof/cairo_coverage/src/cairo-surface-subsurface-inline.h                          4                 4     0.00%           4                 4     0.00%          17                17     0.00%           0                 0         -
home/oof/cairo_coverage/src/cairo-surface-wrapper-private.h                            2                 1    50.00%           2                 1    50.00%           6                 3    50.00%           0                 0         -
home/oof/cairo_coverage/src/cairo-surface-wrapper.c                                  227                75    66.96%          25                 9    64.00%         412               137    66.75%         142                62    56.34%
home/oof/cairo_coverage/src/cairo-surface.c                                         1084               632    41.70%          78                33    57.69%        1424               878    38.34%         732               484    33.88%
home/oof/cairo_coverage/src/cairo-time-private.h                                       4                 4     0.00%           4                 4     0.00%          22                22     0.00%           0                 0         -
home/oof/cairo_coverage/src/cairo-tor-scan-converter.c                               551                67    87.84%          49                 1    97.96%         898                83    90.76%         296                49    83.45%
home/oof/cairo_coverage/src/cairo-tor22-scan-converter.c                             490               384    21.63%          48                25    47.92%         765               559    26.93%         256               228    10.94%
home/oof/cairo_coverage/src/cairo-toy-font-face.c                                    155                70    54.84%          16                 6    62.50%         221                89    59.73%          88                44    50.00%
home/oof/cairo_coverage/src/cairo-traps-compositor.c                                 736               524    28.80%          51                33    35.29%        1520              1081    28.88%         526               411    21.86%
home/oof/cairo_coverage/src/cairo-traps.c                                            424               334    21.23%          29                20    31.03%         680               542    20.29%         284               236    16.90%
home/oof/cairo_coverage/src/cairo-unicode.c                                          224               189    15.62%           7                 4    42.86%         180               143    20.56%         148               130    12.16%
home/oof/cairo_coverage/src/cairo-user-font.c                                        349               179    48.71%          25                 9    64.00%         544               230    57.72%         238               156    34.45%
home/oof/cairo_coverage/src/cairo-wideint-private.h                                    7                 5    28.57%           7                 5    28.57%          40                30    25.00%           0                 0         -
home/oof/cairo_coverage/src/cairo-wideint.c                                           84                56    33.33%           4                 2    50.00%         107                73    31.78%          32                22    31.25%
home/oof/cairo_coverage/src/cairo.c                                                  851               417    51.00%         114                44    61.40%        1138               499    56.15%         540               300    44.44%
home/oof/cairo_coverage/src/cairoint.h                                                58                11    81.03%          20                10    50.00%          89                44    50.56%          48                 6    87.50%
home/oof/cairo_coverage/fuzz/cairo_stateful_fuzzer.c                                 406                52    87.19%          16                 1    93.75%         785                47    94.01%         388                72    81.44%

Files which contain no functions:
home/oof/cairo_coverage/src/cairo-error-private.h                                      0                 0         -           0                 0         -           0                 0         -           0                 0         -
home/oof/cairo_coverage/src/cairo-fixed-type-private.h                                 0                 0         -           0                 0         -           0                 0         -           0                 0         -
home/oof/cairo_coverage/src/cairo-image-surface-private.h                              0                 0         -           0                 0         -           0                 0         -           0                 0         -
home/oof/cairo_coverage/src/cairo-mutex-impl-private.h                                 0                 0         -           0                 0         -           0                 0         -           0                 0         -
home/oof/cairo_coverage/src/cairo-mutex-type-private.h                                 0                 0         -           0                 0         -           0                 0         -           0                 0         -
home/oof/cairo_coverage/src/cairo-reference-count-private.h                            0                 0         -           0                 0         -           0                 0         -           0                 0         -
home/oof/cairo_coverage/src/cairo-spans-compositor-private.h                           0                 0         -           0                 0         -           0                 0         -           0                 0         -
home/oof/cairo_coverage/src/cairo-traps-private.h                                      0                 0         -           0                 0         -           0                 0         -           0                 0         -
home/oof/cairo_coverage/src/cairo-types-private.h                                      0                 0         -           0                 0         -           0                 0         -           0                 0         -
home/oof/cairo_coverage/src/cairo.h                                                    0                 0         -           0                 0         -           0                 0         -           0                 0         -
usr/include/freetype2/freetype/config/public-macros.h                                  0                 0         -           0                 0         -           0                 0         -           0                 0         -
usr/include/freetype2/freetype/freetype.h                                              0                 0         -           0                 0         -           0                 0         -           0                 0         -
usr/include/freetype2/freetype/fttypes.h                                               0                 0         -           0                 0         -           0                 0         -           0                 0         -
usr/include/libpng16/png.h                                                             0                 0         -           0                 0         -           0                 0         -           0                 0         -
usr/include/pixman-1/pixman.h                                                          0                 0         -           0                 0         -           0                 0         -           0                 0         -
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                                                              27868             13794    50.50%        2364               940    60.24%       44097             21268    51.77%       18238             10327    43.38%
Filename                                                                         Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
home/oof/cairo_coverage/src/cairo-analysis-surface-private.h                           1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
home/oof/cairo_coverage/src/cairo-analysis-surface.c                                 377               307    18.57%          36                24    33.33%         701               558    20.40%         246               223     9.35%
home/oof/cairo_coverage/src/cairo-arc.c                                               48                 4    91.67%           7                 1    85.71%         129                20    84.50%          26                 3    88.46%
home/oof/cairo_coverage/src/cairo-array.c                                            122                45    63.11%          21                 4    80.95%         188                58    69.15%          72                38    47.22%
home/oof/cairo_coverage/src/cairo-atomic-private.h                                    23                 8    65.22%          13                 4    69.23%          69                31    55.07%           8                 4    50.00%
home/oof/cairo_coverage/src/cairo-backend-private.h                                    4                 3    25.00%           4                 3    25.00%          12                 9    25.00%           0                 0         -
home/oof/cairo_coverage/src/cairo-bentley-ottmann-rectangular.c                      292                63    78.42%          20                 1    95.00%         536               134    75.00%         194                52    73.20%
home/oof/cairo_coverage/src/cairo-bentley-ottmann-rectilinear.c                      192                55    71.35%          14                 2    85.71%         364               138    62.09%         138                53    61.59%
home/oof/cairo_coverage/src/cairo-bentley-ottmann.c                                  504                72    85.71%          35                 1    97.14%         739                87    88.23%         312                65    79.17%
home/oof/cairo_coverage/src/cairo-box-inline.h                                        43                10    76.74%           7                 2    71.43%          60                26    56.67%          24                 8    66.67%
home/oof/cairo_coverage/src/cairo-boxes-intersect.c                                  259               211    18.53%          22                20     9.09%         400               347    13.25%         160               133    16.88%
home/oof/cairo_coverage/src/cairo-boxes.c                                            179                65    63.69%          15                 6    60.00%         291               121    58.42%         120                52    56.67%
home/oof/cairo_coverage/src/cairo-cache.c                                             50                17    66.00%          15                 7    53.33%          92                37    59.78%          26                12    53.85%
home/oof/cairo_coverage/src/cairo-clip-boxes.c                                       221                53    76.02%          18                 5    72.22%         380               191    49.74%         144                47    67.36%
home/oof/cairo_coverage/src/cairo-clip-inline.h                                       15                 2    86.67%           6                 1    83.33%          35                 6    82.86%           4                 2    50.00%
home/oof/cairo_coverage/src/cairo-clip-polygon.c                                      52                22    57.69%           3                 1    66.67%          74                26    64.86%          30                14    53.33%
home/oof/cairo_coverage/src/cairo-clip-region.c                                       45                18    60.00%           3                 0   100.00%          50                16    68.00%          26                13    50.00%
home/oof/cairo_coverage/src/cairo-clip-surface.c                                      62                62     0.00%           4                 4     0.00%         147               147     0.00%          46                46     0.00%
home/oof/cairo_coverage/src/cairo-clip.c                                             385               206    46.49%          27                12    55.56%         522               296    43.30%         240               149    37.92%
home/oof/cairo_coverage/src/cairo-color.c                                             56                26    53.57%          10                 3    70.00%          76                27    64.47%          40                18    55.00%
home/oof/cairo_coverage/src/cairo-combsort-inline.h                                   23                 0   100.00%           3                 0   100.00%          48                 0   100.00%          18                 0   100.00%
home/oof/cairo_coverage/src/cairo-compiler-private.h                                   2                 2     0.00%           2                 2     0.00%          14                14     0.00%           0                 0         -
